document_id,standard_id,standard_number,validation_status,record_type,synthetic_flag
DOC-C7A0A2CEA9EDCDAA,MSV1-C7A0A2CEA9EDCDAA,IS 19898:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-073BAA08B6122FF1,MSV1-073BAA08B6122FF1,IS 302 (Part 2/Sec 16):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-9E8CA76691AB77AD,MSV1-9E8CA76691AB77AD,IS 302 (Part 2/Sec 36):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-9568373A9402869B,MSV1-9568373A9402869B,IS 302 (Part 2/Sec 49):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-4F790F6EDA5FADBE,MSV1-4F790F6EDA5FADBE,IS 302 (Part 2/Sec 54):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-0D3263E3039E279B,MSV1-0D3263E3039E279B,IS/ISO/IEC/IEEE 8802 (Part 1):2021,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-A9D21EFE6B4252C1,MSV1-A9D21EFE6B4252C1,IS/ISO/IEC 11179 (Part 6):2023,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-9CFA1FE8910113D0,MSV1-9CFA1FE8910113D0,IS/ISO/IEC 14882:2024,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-0C86F9F21218E54B,MSV1-0C86F9F21218E54B,IS 302 (Part 2/Sec 26):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-7999720A6F32853F,MSV1-7999720A6F32853F,IS 7324:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-3377AE13642F3A3E,MSV1-3377AE13642F3A3E,IS 15284 (Part 1):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-C956F39F4CBE6C55,MSV1-C956F39F4CBE6C55,IS 15284 (Part 2):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-A9948391AE2E7355,MSV1-A9948391AE2E7355,IS 6452:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-28E0EFBB542CB521,MSV1-28E0EFBB542CB521,IS 11233:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-06A04D781D01A2C6,MSV1-06A04D781D01A2C6,IS 17425:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-EE967F00771BBFCC,MSV1-EE967F00771BBFCC,IS 5306:2025,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-B34CAE2322CD0273,MSV1-B34CAE2322CD0273,IS 5867:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-A0F5D002CD6D8458,MSV1-A0F5D002CD6D8458,IS 7328:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-4E3774B3A1934884,MSV1-4E3774B3A1934884,IS 8122 (Part 2):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-94037F90D8E26E91,MSV1-94037F90D8E26E91,IS 8122 (Part 1):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-229DB785CAF139F3,MSV1-229DB785CAF139F3,IS 7585:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-38FC966A8B23DAF1,MSV1-38FC966A8B23DAF1,IS 9374:2026 P,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-D4104E86FD409C9A,MSV1-D4104E86FD409C9A,IS 1989 (Part 1):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-341D8871D06A8302,MSV1-341D8871D06A8302,IS 1989 (Part 2):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-306742234323BAD0,MSV1-306742234323BAD0,IS 2553 (Part 3):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-D23D7435D3D50E05,MSV1-D23D7435D3D50E05,IS 19655 (Part 6):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-B5CC69A422B27985,MSV1-B5CC69A422B27985,IS 19535:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-545BE6EB7DCC4BB8,MSV1-545BE6EB7DCC4BB8,IS 19792:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-C34C901843DA2D5A,MSV1-C34C901843DA2D5A,IS 19878:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-802357F71631AFFF,MSV1-802357F71631AFFF,IS 19885:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-F4FC3A7D922E676B,MSV1-F4FC3A7D922E676B,IS 19700:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-9DC23A884D902E31,MSV1-9DC23A884D902E31,IS 14452:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-FA7820263D6EA9F6,MSV1-FA7820263D6EA9F6,IS 17862:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-EE4D9D49A42FE982,MSV1-EE4D9D49A42FE982,IS 19884:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-C81800F032E101C9,MSV1-C81800F032E101C9,IS 12157:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-1FF94D72C7865560,MSV1-1FF94D72C7865560,IS/ISO 7425 (Part 2):2021,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-0D94781525B38165,MSV1-0D94781525B38165,IS 7386:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-94D5BDD5BB26E38C,MSV1-94D5BDD5BB26E38C,IS 16812:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-302C8184BB21228D,MSV1-302C8184BB21228D,IS 19841:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-0853047EBA4C2BBA,MSV1-0853047EBA4C2BBA,IS 19592:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-A3AD2C99F6D3B04C,MSV1-A3AD2C99F6D3B04C,IS 3346:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-C09219C191CD1358,MSV1-C09219C191CD1358,IS 9357:2025,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-6E2AC4A879DA5C3E,MSV1-6E2AC4A879DA5C3E,IS 14550:2025,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-1C3D1AA19851F6FF,MSV1-1C3D1AA19851F6FF,IS 16122:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-B9D1FE08BA19B57A,MSV1-B9D1FE08BA19B57A,IS 19864:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-7451C258E34A751F,MSV1-7451C258E34A751F,IS 19866:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-64EB12ECDD1A95D0,MSV1-64EB12ECDD1A95D0,IS 17874 (Part 2):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-66867C227F828F27,MSV1-66867C227F828F27,IS 17874 (Part 3):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-DF3ED66004F6B364,MSV1-DF3ED66004F6B364,IS 19510:2025,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-B037D56F0ED5BAED,MSV1-B037D56F0ED5BAED,IS 19823:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-AE53EE491FC386E3,MSV1-AE53EE491FC386E3,IS 19846:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-5BD5EE33863BBF72,MSV1-5BD5EE33863BBF72,IS 17113 (Part 7):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-698C080561EB07EC,MSV1-698C080561EB07EC,IS 19844:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-23D3C2D3A60BC824,MSV1-23D3C2D3A60BC824,IS 19843:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-55A346C419609FAE,MSV1-55A346C419609FAE,IS 19859:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-01D376125BA0F557,MSV1-01D376125BA0F557,IS 19848:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-D3876678EC2A0499,MSV1-D3876678EC2A0499,IS 19847:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-A92FA5B8E06BF287,MSV1-A92FA5B8E06BF287,IS 19860:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-5FFC9FE2B0387F2D,MSV1-5FFC9FE2B0387F2D,IS 19845:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-82F0E9CD35E8A931,MSV1-82F0E9CD35E8A931,IS 302 (Part 2/Sec 17):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-A7DCF70681073EAE,MSV1-A7DCF70681073EAE,IS 302 (Part 2/Sec 10):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-91EF7F4B938D71E1,MSV1-91EF7F4B938D71E1,IS 302 (Part 2/Sec 28):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-37560BE34E3558A6,MSV1-37560BE34E3558A6,IS 302 (Part 2/Sec 37):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-9A31F5182B4BEF80,MSV1-9A31F5182B4BEF80,IS 302 (Part 2/Sec 48):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-31DE370A379FB808,MSV1-31DE370A379FB808,IS 302 (Part 2/Sec 98):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-A272A6B335D6C75B,MSV1-A272A6B335D6C75B,IS 19762:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-E58C9523625C8DB7,MSV1-E58C9523625C8DB7,IS 17017 (Part 23):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-7C9255AA2DA813CB,MSV1-7C9255AA2DA813CB,IS 13940:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-DE67857A5AA29730,MSV1-DE67857A5AA29730,IS/ISO/IEC 5218:2022,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-F8AE740159F945BD,MSV1-F8AE740159F945BD,IS 10680 (Part 1):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-F0B2BE9C15DF3DEF,MSV1-F0B2BE9C15DF3DEF,IS 14943 (Part 1):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-4F6822532A7855A7,MSV1-4F6822532A7855A7,IS/ISO 56001:2024,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-55C19B284F89F3CC,MSV1-55C19B284F89F3CC,IS 19814:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-4D453E0ABEF71EAC,MSV1-4D453E0ABEF71EAC,IS 19815:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-9EC291E6A78CC274,MSV1-9EC291E6A78CC274,IS 19811:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-C395702C2F0790E3,MSV1-C395702C2F0790E3,IS 19863 (Part 1):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-07FA5BBFD5BF4BDD,MSV1-07FA5BBFD5BF4BDD,IS 19863 (Part 2):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-05FC10FBF6167552,MSV1-05FC10FBF6167552,IS 19863 (Part 3):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-B2CC836DA84D217D,MSV1-B2CC836DA84D217D,IS 1622:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-970DCFD26B6F6889,MSV1-970DCFD26B6F6889,IS/ISO 8573 (Part 5):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-6574984A1544326D,MSV1-6574984A1544326D,IS 16264:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-A6F75043795261A6,MSV1-A6F75043795261A6,IS 16252:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-F330FA1D4B0316D3,MSV1-F330FA1D4B0316D3,IS 5760:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-32CCDC9483073D23,MSV1-32CCDC9483073D23,IS 15583:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-4971086D304AD9F8,MSV1-4971086D304AD9F8,IS 17274 (Part 11):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-30BD38FB77E4063B,MSV1-30BD38FB77E4063B,IS 19872:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-351334F4825A512F,MSV1-351334F4825A512F,IS 19875:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-C63CACDA59C7FFFE,MSV1-C63CACDA59C7FFFE,IS 19869:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-5C6AD0791B914EDD,MSV1-5C6AD0791B914EDD,IS 19873:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-CD2C0FD60BB29751,MSV1-CD2C0FD60BB29751,IS 19874:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-C29F6D71616D5AF5,MSV1-C29F6D71616D5AF5,IS 19870:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-3B7AE8EA1EE01995,MSV1-3B7AE8EA1EE01995,IS 19871:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-8DA8C9CE7C52D024,MSV1-8DA8C9CE7C52D024,IS 5870:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-D7DC7D9EF56657D0,MSV1-D7DC7D9EF56657D0,IS 5681:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-54BE620E17C32F33,MSV1-54BE620E17C32F33,IS 8697:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-F5381FB562A81827,MSV1-F5381FB562A81827,IS 8787:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-C2A1537F20395513,MSV1-C2A1537F20395513,IS 7219:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-80B26619E5F31557,MSV1-80B26619E5F31557,IS 8751 (Part 2):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-ACF95066F94D6435,MSV1-ACF95066F94D6435,IS 19857:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-06BEF344E49B7CD0,MSV1-06BEF344E49B7CD0,IS 19856:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-B6EE9EEFF75C4216,MSV1-B6EE9EEFF75C4216,IS 19834:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-57D6835421F7AD08,MSV1-57D6835421F7AD08,IS 19835:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-9B108F9A928BB368,MSV1-9B108F9A928BB368,IS/ISO/IEC 8663:2025,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-EA256D74D020A692,MSV1-EA256D74D020A692,IS/ISO/IEC 27031:2025,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-BDC3F6277CFB5DE7,MSV1-BDC3F6277CFB5DE7,IS 16500:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-ABB22359B2C8EE81,MSV1-ABB22359B2C8EE81,IS/ISO/IEC 19896 (Part 1):2025,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-FDC490D362DA9389,MSV1-FDC490D362DA9389,IS/ISO/IEC 19896 (Part 3):2025,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-62608CE1EDD2F938,MSV1-62608CE1EDD2F938,IS/ISO/IEC 27018:2025,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-9987B09C822D494D,MSV1-9987B09C822D494D,IS 14990 (Part 5):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-E198DC907C72DF2C,MSV1-E198DC907C72DF2C,IS 19751 (Part 1):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-51401E3EF8BDCDD9,MSV1-51401E3EF8BDCDD9,IS 19751 (Part 2):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-B6B1EABBF5EA66B5,MSV1-B6B1EABBF5EA66B5,IS 19751 (Part 3):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-5A29EB1E2FA03E87,MSV1-5A29EB1E2FA03E87,IS 19751 (Part 4):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-6457A583CCDE567B,MSV1-6457A583CCDE567B,IS 19751 (Part 5):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-31F47BDE1FCD3153,MSV1-31F47BDE1FCD3153,IS 19751 (Part 6):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-4C3205A4DE389B0B,MSV1-4C3205A4DE389B0B,IS 19751 (Part 7):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-16BCFA28DF39AC06,MSV1-16BCFA28DF39AC06,IS 19751 (Part 8):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-668D485AA73DDB82,MSV1-668D485AA73DDB82,IS 1459:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-B2B9F9C290A80FAE,MSV1-B2B9F9C290A80FAE,IS 5508 (Part 18):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-E9609669F0C94312,MSV1-E9609669F0C94312,IS 3608 (Part 2):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-85B77D77E91620F9,MSV1-85B77D77E91620F9,IS 10226 (Part 2):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-E82F324C886068BE,MSV1-E82F324C886068BE,IS 10226 (Part 1):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-3A23B16CB0138F65,MSV1-3A23B16CB0138F65,IS 12435:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-4DD5E835BE1CBC88,MSV1-4DD5E835BE1CBC88,IS 1017:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-A804138002226807,MSV1-A804138002226807,IS 19877T:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-FB8BCBD045328B17,MSV1-FB8BCBD045328B17,IS 302 (Part 2/Sec 99):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-77C37A240892FBD0,MSV1-77C37A240892FBD0,IS 19465:2025,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-D04449759384997F,MSV1-D04449759384997F,IS/IEC 60136:2024,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-886B47F18F600A5A,MSV1-886B47F18F600A5A,IS 29997:2025,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-1DD2B96769E56A36,MSV1-1DD2B96769E56A36,IS 1944:2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-4BA2BE9D6DB89F85,MSV1-4BA2BE9D6DB89F85,IS 8783 (Part 2):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-AE65C821030951E1,MSV1-AE65C821030951E1,IS 8783 (Part 3):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-826B40FDC1F56190,MSV1-826B40FDC1F56190,IS 8783 (Part 4/Sec 1):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
DOC-90CDBF2A07DCD8CA,MSV1-90CDBF2A07DCD8CA,IS 8783 (Part 4/Sec 2):2026,SOURCE_DERIVED,OFFICIAL_SOURCE_INVENTORY,False
